Finished,Consent,Z3.CaTy.Uq,Z3.ExTy.Uq,z3.CaTo.Uq,z3.ExTo.Uq,Z4.Ty.CF,z4.To.CF,d3.CaTy.Uq,d3.ExTy.Uq,d3.CaTo.UQ,d3.ExTo.UQ,d4.Ty.CF,d4.To.CF,g3.CaTy.Uq,g3.ExTy.Uq,g3.CaTo.Uq,g3.ExTo.Uq,g4.Ty.CF,g4.To.CF,y3.CaTy.Uq,y3.ExTy.Uq,y3.CaTo.Uq,y3.ExTo.Uq,y4.Ty.CF,y4.To.CF,Mch.z1,Mch.z2,Mch.d1,Mch.d2,Mch.g1,Mch.g2,Mch.y1,Mch.y2,cov.1,cov.2,CommOwn,Comments,Age,Gender,task,moderator,tableorder
TRUE,I do consent to participate,,,,Strongly agree7,,Mostly agree 6,,,,Somewhat agree 5,,Somewhat agree 5,,,,Mostly agree 6,,Mostly agree 6,,,,Mostly disagree 2,,Neither disagree nor agree 4,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked","Some of the data clearly showed causation, whereas some did not.",,25,Male,ex.to.uq,drolyuyu,1
TRUE,I do consent to participate,Strongly agree 7,,,,Strongly agree7,,Somewhat agree 5,,,,Neither disagree nor agree 4,,Strongly agree7,,,,Strongly agree7,,Somewhat agree 5,,,,Neither disagree nor agree 4,,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked","The ones I gave middling results on, I figured I was stating that they are related but there are circumstances that cause the effect, not just the hypothesized reason itself.",n/a,21,Male,ca.ty.uq,drolyuyu,2
TRUE,I do consent to participate,,,Mostly agree 6,,,Mostly agree 6,,,Somewhat disagree 3,,,Mostly disagree 2,,,Mostly agree 6,,,Mostly agree 6,,,Mostly disagree 2,,,Somewhat disagree 3,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked","The ratings I gave were based on the initial results combined with the other variables that were present when some kind of mistake was made. Even though it was a mistake, the presence of another variable could give valuable insight into why certain conditions appear. ",No further comments at this time. Thank you! ,30,Male,ca.to.uq,drolyuyu,2
TRUE,I do consent to participate,Mostly agree 6,,,,Mostly agree 6,,Mostly agree 6,,,,Somewhat disagree 3,,Mostly agree 6,,,,Neither disagree nor agree 4,,Mostly agree 6,,,,Mostly disagree 2,,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,The data pattern looks very similar for carrots that were raw vs. cooked,I looked at the table and considered the relationships. ,no,36,female,ca.ty.uq,drolyuyu,1
TRUE,I do consent to participate,,,Somewhat agree 5,,,Neither disagree nor agree 4,,,Somewhat agree 5,,,Somewhat agree 5,,,Somewhat agree 5,,,Somewhat disagree 3,,,Neither disagree nor agree 4,,,Somewhat disagree 3,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,The data pattern looks very similar for carrots that were raw vs. cooked,"I think I understood the charts well enough, but since it's been a long time since I answered those kind of questions using charts, I hope my answers were made knowingly enough.",Props for the creative scenerios!,26,gender noncomforming,ca.to.uq,drolyuyu,2
TRUE,I do consent to participate,,Mostly agree 6,,,Somewhat agree 5,,,Mostly disagree 2,,,Mostly disagree 2,,,Mostly disagree 2,,,Mostly disagree 2,,,Mostly disagree 2,,,Mostly disagree 2,,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked",I never want to say strongly agree because there were always cases where something did or didn't happen and they still developed an issue or ended up in the yes category.,,22,Female,ex.ty.uq,drolyuyu,2
TRUE,I do consent to participate,,Strongly agree7,,,Strongly agree7,,,Somewhat disagree 3,,,Neither disagree nor agree 4,,,Strongly agree7,,,Strongly agree7,,,Neither disagree nor agree 4,,,Somewhat disagree 3,,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked","In some cases, correlation with the original hypothesis almost disappears when the second factor is introduced.  In others, it seems the second factor is actually the driving mechanism, not the original one.  However, there is the possibility that the second factor only has effect when the original factor is present.","Thank you, fascinating!",51,male,ex.ty.uq,drolyuyu,1
TRUE,I do consent to participate,,,Somewhat agree 5,,,Strongly agree7,,,Neither disagree nor agree 4,,,Neither disagree nor agree 4,,,Mostly agree 6,,,Mostly agree 6,,,Mostly disagree 2,,,Neither disagree nor agree 4,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked","there was some correlation, but none of them can be pinpointed as the sole factor in any of the experiments, so much as a contributor",,25,Nonbinary ,ca.to.uq,drolyuyu,1
TRUE,I do consent to participate,,,,Somewhat disagree 3,,Somewhat disagree 3,,,,Somewhat disagree 3,,Somewhat disagree 3,,,,Somewhat disagree 3,,Somewhat disagree 3,,,,Somewhat disagree 3,,Somewhat disagree 3,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are found inside volcanoes,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked","I did not strongly agree or disagree to any answer because in some cases, it seemed the results could have been random rather than based on the variable in the hypothesis. But it was clear that variable made a difference when the data was further skewed depending on the introduction of a new variable. ",,26,Female,ex.to.uq,zelmogrimond,1
TRUE,I do consent to participate,Mostly disagree 2,,,,Neither disagree nor agree 4,,Somewhat agree 5,,,,Somewhat agree 5,,Somewhat disagree 3,,,,Somewhat disagree 3,,Somewhat agree 5,,,,Mostly disagree 2,,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are found inside volcanoes,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked",I just answered based on what I thought about the relationships between the items,N/A,22,Female,ca.ty.uq,zelmogrimond,1
TRUE,I do consent to participate,,,Somewhat agree 5,,,Mostly disagree 2,,,Mostly disagree 6,,,Mostly disagree 6,,,Somewhat agree 5,,,Somewhat disagree 3,,,Mostly agree 6,,,Mostly agree 6,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked",They seemed like the correct choices based on the charts.,no,27,F,ca.to.uq,zelmogrimond,1
TRUE,I do consent to participate,,,,Somewhat disagree 3,,Somewhat disagree 3,,,,Somewhat agree 5,,Somewhat agree 5,,,,Neither disagree nor agree 4,,Neither disagree nor agree 4,,,,Neither disagree nor agree 4,,Neither disagree nor agree 4,sometimes have sore antennas,eating yona plants produces antenna soreness,they never grow in saline soil,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,The data pattern looks very similar for carrots that were raw vs. cooked,I felt the data was correct. ,,50,Female,ex.to.uq,drolyuyu,2
TRUE,I do consent to participate,,Mostly agree 6,,,Somewhat disagree 3,,,Somewhat agree 5,,,Strongly agree7,,,Somewhat agree 5,,,Somewhat agree 5,,,Mostly agree 6,,,Mostly agree 6,,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were cooked, but disappears when carrots were raw",I gave my ratings bases on what was true. ,no,20,female,ex.ty.uq,zelmogrimond,2
TRUE,I do consent to participate,,,Mostly disagree 2,,,Somewhat disagree 3,,,Somewhat disagree 3,,,Somewhat agree 5,,,Somewhat disagree 3,,,Mostly disagree 2,,,Neither disagree nor agree 4,,,Somewhat agree 5,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked",I was trying to determine if there was enough of a correlation in each case to suggest causation,no,54,Gender Queer,ca.to.uq,zelmogrimond,2
TRUE,I do consent to participate,,Somewhat disagree 3,,,Mostly agree 6,,,Strongly agree7,,,Strongly agree7,,,Strongly agree7,,,Mostly agree 6,,,Mostly agree 6,,,Mostly agree 6,,sometimes have sore antennas,eating drol mushrooms produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,30 people ate carrots in the past week and had better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked",The data that was supplied was given that rating due to the information given and logical scientific reasoning. ,"No, thank you for your time.",22,Male,ex.ty.uq,zelmogrimond,2
TRUE,I do consent to participate,,,Somewhat disagree 3,,,Somewhat disagree 3,,,Strongly agree7,,,Strongly agree7,,,Neither disagree nor agree 4,,,Neither disagree nor agree 4,,,Somewhat agree 5,,,Mostly agree 6,sometimes have sore antennas,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,There is some relationship between eating carrots and better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked",Information given in the data tables,no,57,female,ca.to.uq,zelmogrimond,1
TRUE,I do consent to participate,Mostly agree 6,,,,Mostly agree 6,,Mostly disagree 2,,,,Somewhat agree 5,,Somewhat agree 5,,,,Mostly agree 6,,Somewhat agree 5,,,,Somewhat disagree 3,,sometimes get food poisoning from eating plants,eating yona plants produces antenna soreness,they are sometimes exposed to smoke from forest fires,saline soil causes bumpy stems in drols,they are sometimes exposed to sulfuric acid,exposure to sulfuric acid causes surface cracks in grimonds,they sometimes eat marine snails,eating marine snails causes a brownish tint on yuyus' feathers,More people ate carrots in the past week than had better eyesight,"The relationship between eating carrots and better eyesight seems to hold strongly when carrots were raw, but disappears when carrots were cooked","based on the data, I inferred the most likely outcome in the case of the scenario presented in the question if a subject was chosen at random.",,21,Female,ca.ty.uq,drolyuyu,2
